reference_text,feminine_style,masculine_style,source_dataset,item_id,survey_version,pair_in_version
there was a school assembly today | with prizes being handed out . the principal made a speech . then the vice principal made her speech . everyone was very interested in what they had to say . at the the end of the day | quite a few people got awards .,"It was so lovely to see everyone gathered at the school assembly today, where prizes were handed out. I felt the principal gave a heartfelt speech, and then the vice principal shared her thoughtful words too; we all listened with genuine interest. By the end of the day, many wonderful people received awards, which felt really special.","A school assembly was held today with prize distribution. The principal spoke, followed by the vice principal. Attendees paid close attention. At day's end, numerous awards were given.",style_instructions,style_494,2,2
after riding the carnival rides all morning the family decides to take a break . they buy some toys for their kids and then decide that it is time to eat . they choose the open kitchen because the mascot is so cute . the meals for the kids are family friendly and delicious . but mom orders a fancy dessert for herself . it is the perfect end to the perfect meal .,"After enjoying the carnival rides all morning, the family opts for a break. They pick out some toys for their children and then agree it's time to eat. They select the open kitchen since the mascot is absolutely adorable. The kids' meals are both family-friendly and tasty. However, Mom treats herself to an elegant dessert. It's the ideal conclusion to a wonderful meal.","After riding the carnival rides all morning, the family takes a break. They buy toys for their kids and decide to eat. They choose the open kitchen because the mascot looks cool. The kids' meals are good and family-friendly. But Mom gets a fancy dessert for herself. It's a perfect end to a great meal.",no_instructions,noinst_461,2,3
it was a great day to go racing and off they went ! even the dog was loving this sunny day each racer pushed themselves harder and harder it was such a great race that day all enjoyed it,"What a wonderful day for racing, and off they joyfully went! Even the dog seemed to absolutely adore the sunny weather, and each racer challenged themselves with such inspiring effort—it truly was such a fantastic race, and everyone had a lovely time.","It was a great day for racing, so they headed out. The dog enjoyed the sun, and every racer pushed hard. The race was excellent; all enjoyed it.",style_instructions,style_484,2,4
when we first walked into the carnival | we were amazed by the beautiful lights on the rides . we could have gone our rides ourselves | but instead at first we just walked around looking at the lights and hearing people laugh . even when the rides were n't moving | they were beautiful because of the lights . there were different light schemes . some were simple colors in weird shapes . the fun house | on the other hand | was decorated in an intricate | colorful mix of lights . we liked that the best .,"When we first stepped into the carnival, we were so enchanted by the gorgeous lights adorning the rides. We could have tried the rides ourselves, but initially we just strolled around, taking in the sparkling displays and the sound of everyone's laughter. Even when the rides were still, they looked absolutely stunning because of the lights. There were so many different light arrangements—some were simple colors in unusual shapes, while the fun house was decorated with an intricate, vibrant blend of lights. That one was our favorite.","When we first entered the carnival, we were struck by the impressive lights on the rides. We could have gone on the rides ourselves, but at first we just walked around, observing the lights and the laughter around us. Even motionless, the rides looked striking due to the lighting. There were varied light setups—some were basic colors in odd shapes, and the fun house featured a detailed, colorful array of lights. We preferred that one.",no_instructions,noinst_7,2,5
being an easter bunny | i have to do my homework . there is a ton of people on the opposite team . some people | like this little girl | are not easy to trick . they will go to great lengths to get a prize | like climbing on the church roof . so | i try to up my game and get into their faces as much as i can .,"Being an Easter bunny, I really have to put my heart into my homework. There are so many people on the other team, and some, like this sweet little girl, just aren't easy to fool. They'll go to amazing lengths for a prize—imagine, even climbing up on the church roof! So, I try my best to get creative and engage with them as much as possible.","As an Easter bunny, I must complete my tasks. The opposing team has many people. Some, like that girl, are difficult to trick. They'll do anything for a prize, even climb the church roof. I up my game and confront them directly.",style_instructions,style_57,2,6
the group arrived for their mission trip . they helped plant flowers . it made the yard look much better ! they pruned the trees . the grounds were soon tidy !,"The group arrived for their mission trip. They helped plant flowers, which made the yard look so much prettier! They pruned the trees, and soon the grounds were beautifully tidy!","The group arrived for their mission trip. They planted flowers, improving the yard's appearance. They pruned the trees, and the grounds were quickly made tidy.",no_instructions,noinst_109,2,7
ideas were exchanged at the conference . people broke into smaller groups to share their thoughts . larger circles contained lectures and demostrations . the opportunity to meet leaders was given . pamphlets were given and taken home .,"We had a wonderful time exchanging ideas at the conference, and it was so nice to break into smaller groups to share our thoughts together. The larger circles featured engaging lectures and demonstrations, and we were all given the opportunity to meet inspiring leaders. Pamphlets were provided for us to take home and reflect on later.","Ideas were exchanged at the conference. Participants broke into groups to share thoughts, while lectures and demonstrations occurred in larger circles. Leaders were available to meet. Pamphlets were distributed and taken home.",style_instructions,style_209,2,8
happy and smiling on the first day of school . big boy is as tall as the fence now . first day of school picture memory . excited about the play ground . picture in front of his new school .,"How wonderful to see him so happy and smiling on his first day of school! Our big boy has grown so tall, reaching the fence now. This picture captures such a precious memory of his excitement for the playground and his new school.","First day of school: happy, smiling, and tall as the fence. Excited for the playground. Photo in front of the new school.",style_instructions,style_104,2,9
people in stone houses should n't throw glasses | or something like that . this palatial building is at the corner of rich and famous . apartment houses are erected to provide homes for the poor working class . this house was built 400 years ago . the monument serves as a gate to this building .,"People living in stone houses shouldn't throw glasses, or something similar. This beautiful building sits at the corner of Rich and Famous streets. Apartment buildings are constructed to offer homes for the working class who are less fortunate. This house was constructed 400 years ago. The monument acts as an entrance to this structure.","Those in stone houses shouldn't throw glasses, or something to that effect. This palatial building stands at the corner of Rich and Famous. Apartment houses are built to house the poor working class. This house was erected 400 years ago. The monument functions as a gate to the building.",no_instructions,noinst_281,2,10
everyone had a great time at the party last week . there was so much commotion in that small apartment . everyone was really happy . we all had a lot to drink . afterwards we got together for some group photos .,"We all had such a wonderful time at the party last week! It was so lively and full of joy in that cozy little apartment, and I think everyone felt truly happy together. We shared quite a few drinks, and afterwards, we gathered for some lovely group photos to remember the special evening.","Everyone enjoyed the party last week. The small apartment was busy and loud. People were happy. We drank heavily. Afterwards, we took group photos.",style_instructions,style_322,3,1
the college students were celebrating the end of semester . the went to a restaurant for dinner . everyone was a little goofy after all the tests . it was so nice to relax . the group was quite big and had a great time .,"The college students were celebrating the semester's end by going to a restaurant for dinner. Everyone felt a bit silly after finishing all the tests, and it was wonderfully relaxing. The large group had such a lovely time together.","The college students celebrated the end of the semester with dinner at a restaurant. Everyone was a little goofy after the tests, making it a great time to unwind. The big group had a blast.",no_instructions,noinst_490,3,2
the men prepared for the wedding before they sat outside . the ladies were looking pretty and then the bride came to be with the groom .,"The men got ready for the wedding before they gathered outside, while the ladies looked lovely and then the bride arrived to join the groom.","The men prepared for the wedding prior to taking their seats outdoors, as the women appeared attractive and the bride came to be with the groom.",no_instructions,noinst_435,3,3
the field trip to organization is a wonderful learning experience for all the students . the teacher gives them direction on what 's going to be happening on their tour of this organization facility . a organization representative shows the students a film about the location landing . the students were given some tests to evaluate their knowledge of the space program . the students were shown these charts and educated on the conditions the location surface .,"The field trip to the organization is such a wonderful learning experience for all the students! The teacher provides clear direction on what will be happening during their tour of the facility. A representative shows the students a film about the location's landing, and they are given tests to evaluate their knowledge of the space program. The students are shown charts and educated about the conditions on the location's surface.",The field trip to the organization is a valuable learning experience for all students. The teacher gives directions for the tour of the facility. An organization representative shows a film on the location landing. Students take tests to evaluate their space program knowledge. They view charts and learn the conditions of the location surface.,no_instructions,noinst_286,3,4
i went to the party last week . it was for a wedding . there were many guests there . i gave them a lot of flowers . afterward i went back home .,"I went to a wedding celebration last week, and it was such a lovely gathering with so many guests! I happily gave them lots of beautiful flowers, and afterward, I headed back home feeling content.",I attended a wedding party last week. Many guests were present. I gave flowers to them. Then I returned home.,style_instructions,style_438,3,5
exploring graffiti around the city and found these lights that almost look like demon eyes a very distrubing image on the side of an apartment building we found the entrance to a basement that was just covered . the same shot with some camera effects added this is n't graffiti but the stairs form their own art work,"While exploring the city's graffiti, I came across these lights that resemble demon eyes—a truly unsettling image on an apartment building's side. We discovered a basement entrance that was completely covered. The same shot, enhanced with camera effects, reveals that although it isn't graffiti, the stairs create their own artwork.","Found these lights that look like demon eyes while checking out graffiti around the city—a disturbing sight on an apartment building. We located a basement entrance that was just covered up. Same shot with camera effects added; it's not graffiti, but the stairs form their own art.",no_instructions,noinst_263,3,6
it was the day of the town parade . many people were dressed up . different groups came out in full force . everyone felt represented . the town felt stronger after this day of celebration .,"It was the day of the town parade, and so many of us felt joy seeing everyone dressed up in such vibrant ways. All the different groups came together beautifully, making each person feel truly seen and included. Our community felt so much stronger and more connected after this heartfelt celebration.",The town parade occurred with many participants dressed up. All groups participated fully. Representation was achieved. The event strengthened the community.,style_instructions,style_3,3,7
the new local restaurant . there were so many choices | we did n't know where to start . we did like how the water was served | circular like the table . for an appetizer we had curry and rice . our main meals came and there was so much . the food was delicious . we all had a good time .,"The new local restaurant was absolutely delightful, with so many wonderful choices that we felt a bit overwhelmed deciding where to begin. We adored how the water was served in such a charming circular shape, just like the table. For our appetizer, we enjoyed a lovely curry and rice. When our main meals arrived, the portions were so generous and everything tasted simply delicious. We all had such a lovely time together.","The new local restaurant had a ton of choices, so we weren't sure where to start. We liked that the water was served circular, matching the table. For an appetizer, we got curry and rice. Our main meals came out with huge portions. The food was really good. We all had a great time.",no_instructions,noinst_325,3,8
yes | those smiles are real | we finally did it | we graduated . now on to the real world . the parents are so proud | does not matter what we are doing | they want to keep taking photos . hopefully | this angel comes with us through the summer and off to college while we start our journey into adulthood . yes | another photo of me eating | why do they always get photos of me eating . dad getting ready to cut the cake | while grandpa gets the ice cream out of the freezer .,"Yes, those smiles are truly heartfelt—we finally did it and graduated! Now we're stepping into the real world together, and our parents are so incredibly proud; it doesn't matter what we're doing, they just want to keep capturing these precious moments with photos. I hope this joyful spirit stays with us through the summer and as we head off to college, beginning our beautiful journey into adulthood. Oh, and yes, here's another photo of me eating—why do they always snap those? Dad is getting ready to cut the cake while grandpa fetches the ice cream from the freezer.","Yes, those smiles are real—we graduated. Now we move on to the real world. The parents are proud and keep taking photos regardless of what we're doing. Hopefully, this positive energy lasts through summer and into college as we start adulthood. Another photo of me eating—why always that? Dad cuts the cake; grandpa gets the ice cream.",style_instructions,style_156,3,9
mother and father goose lived near the pond . they had a large family | and it was n't easy raising them all . it took all their time keeping their brood in line . on the pond or on the shore | those little goslings were a pack of trouble . however | it was all worth it | as nothing gave them more pride than watching their little guys grow up to be big | strong geese .,"Mother and Father Goose lived near the pond, and they had a large family. It wasn't always easy raising them all, as it took all their time and care to keep their brood in line. Whether on the pond or the shore, those sweet little goslings could be quite a handful! Still, it was all so worth it, because nothing filled their hearts with more pride than watching their little ones grow into big, strong geese.",Mother and Father Goose lived by the pond with a large family. Raising them was difficult. They spent all their time managing the brood. The goslings caused trouble on the pond and shore. Yet it was worthwhile—seeing the young grow into strong geese brought them pride.,style_instructions,style_296,3,10
at the chargers game today . we have awesome seats as you can see . the cheerleders are so hot | i just wish we had closer seats for this routine . ca n't watch cheerleaders all day i guess . [male] rivers is right on the money as always . he 's been throwing that outside pass all day . i 'm a little excited about the outcome of this game . so is my best friend [male] . this is why . looks like we 're off to a good start this year .,"We're at the Chargers game today with these amazing seats! I just adore watching the cheerleaders' routine—I wish we were a bit closer to really take it all in, though we can't watch them all day, I suppose. Rivers is playing so skillfully, hitting those outside passes perfectly all afternoon. I'm feeling really hopeful and excited about how the game is turning out, and my best friend is too. It looks like we're off to such a wonderful start this year!","At the Chargers game. Great seats. The cheerleaders are impressive, but we need closer views for the routine. Can't watch them all day. Rivers is accurate as usual, nailing outside passes consistently. Confident about the game's outcome. My best friend agrees. Strong start to the year.",style_instructions,style_390,4,1
i was very excited to play in the game tonight . we had been practicing very hard . our coach believes in us . we got together for a group hug . we were going to try our best to win .,I was so thrilled to play in tonight's game. We had been practicing incredibly hard. Our coach truly believes in us. We came together for a group hug. We were going to give our absolute best to win.,I was pumped to play in the game tonight. We'd been practicing hard. Our coach believes in us. We got together for a quick team huddle. We were going to give it our all to win.,no_instructions,noinst_470,4,2
today i went to radio shack to protest unfair use of electronics . many men stood up screaming demands . we all listened to them . some rambled on and some had great focus points . we marched down the street to rally up more people . i came upon a organization sign and it reminded me of hotdogs and i got hungry so i skipped out on the rally and went to the stadium to eat !,"Today I visited RadioShack to stand against unfair electronics practices. Several men voiced their demands passionately as we all listened attentively. Some spoke at length while others made focused, compelling arguments. We then marched together down the street to gather more supporters. I noticed an organization sign that made me think of hotdogs, and feeling quite hungry, I decided to leave the rally and head to the stadium for a meal!","Today I went to RadioShack to protest unfair electronics use. A number of men stood up shouting demands, and we all heard them out. Some rambled while others had sharp, focused points. We marched down the street to rally more people. I came across an organization sign that reminded me of hotdogs, got hungry, and bailed on the rally to grab food at the stadium.",no_instructions,noinst_386,4,3
the family went on vacation to location . our hosts welcomed us with open arms ! our shack was very cosy and rustic . that morning we went on a guided tour of the water front . later that afternoon we went on a raft ride . it was a great way to end the day .,"Our family went on a vacation to location, and our hosts greeted us so warmly with open arms! Our little shack felt wonderfully cozy and charmingly rustic. That morning, we enjoyed a lovely guided tour along the waterfront, and later that afternoon, we had such a fun raft ride—it was the perfect way to end our day together.",Our family vacationed at location. The hosts welcomed us warmly. Our shack was cozy and rustic. We took a guided waterfront tour in the morning and a raft ride in the afternoon. It capped the day well.,style_instructions,style_279,4,4
annual sambhavi day gave us an opportunity to help so many children in need . the children of our church performed the traditional prayer for guests . we are all very proud that we could support the parents of the special needs children . the money raised will help buy equipment that will make lives better . all of our hard work was rewarded by the children 's smiling faces !,Our annual Sambhavi Day offered such a heartfelt chance to assist so many children in need. The kids from our church beautifully performed the traditional guest prayer. We all feel truly proud to have supported the parents of children with special needs. The funds raised will help purchase equipment to improve their lives. All our dedication was wonderfully rewarded by the children’s beaming smiles!,The annual Sambhavi Day provided a solid opportunity to help many children in need. The children of our church carried out the traditional guest prayer. We take pride in having supported the parents of special needs children. The money raised will go toward equipment that improves lives. Our hard work paid off with the children’s happy faces.,no_instructions,noinst_44,4,5
i woke up yesterday and i had to clean my room . it was a mess everywhere . after i finished i made some food for myself because i was starving . i spent some time thinking about what to do next . i decided to head out into the town for the night .,"Yesterday morning, I woke up and just had to tidy my room—it was such a mess all over! After finishing, I prepared a little something to eat because I was absolutely starving. I took some time to ponder what to do next, and eventually decided to go out into town for the evening.","I got up yesterday and had to clean my room—it was a complete mess. Once I was done, I made some food because I was starving. I spent a bit of time figuring out my next move, then decided to head into town for the night.",no_instructions,noinst_446,4,6
these friends have gathered to shoot off rockets in the snowy mountains . they set up the rockets . throw a few snowballs at them . set up the launchpad . and wait . oh the suspense .,"These friends have gathered to shoot off rockets in the snowy mountains. They set up the rockets, toss a few snowballs at them, arrange the launchpad, and wait. Oh, the anticipation!","These friends have gathered to shoot off rockets in the snowy mountains. They set up the rockets, throw some snowballs at them, position the launchpad, and wait. The suspense builds.",no_instructions,noinst_493,4,7
the family came with me to take a trip down the river to watch a performance . there was a lot of cool sights to be seen . amazing art work passed us by as we snapped photos . the architecture was truly impressive . arriving at the performance we were all really happy and excited .,"Our family journeyed together down the river to watch the performance, and it felt so lovely to share the experience. We marveled at the truly breathtaking sights and stunning artwork drifting by, snapping photos to capture the magical moments. The architecture was absolutely impressive and left us in awe. When we arrived, we were all just thrilled and filled with excitement, making it such a special day.",The family took a river trip to see a performance. We viewed many impressive sights and captured photos of the amazing artwork. The architecture was notable. Arrival brought excitement and happiness.,style_instructions,style_341,4,8
in the woods | there was a broken tree . there was also a bug . there was some water by the rock . the leaf was dead . and there was a berry .,"In the woods, we might notice a broken tree, a tiny bug, some water by the rock, a dead leaf, and a berry waiting to be found.","The woods contained a broken tree, a bug, water by a rock, a dead leaf, and a berry.",style_instructions,style_451,4,9
they kicked off the party by going to the local italian restaurant . the homies drank alcohol and ate food . they started off with a cucumber salad . they finished with some smoked tuna . overall the homies had a great time .,"They began their wonderful evening by heading to the cozy local Italian restaurant, where they all enjoyed drinks and delicious food together. Starting with a refreshing cucumber salad and finishing with some savory smoked tuna, the homies truly had such a lovely and memorable time.","The homies started the party at the local Italian restaurant. They drank, ate, began with cucumber salad, and ended with smoked tuna. Everyone had a great time.",style_instructions,style_500,4,10
the women are getting ready with makeup and the priests are preparing too . the girl puts a ring on and then looks at it . her mother is so happy for her .,"As the women are beautifully getting ready with makeup, the priests are also preparing, and the girl gently puts a ring on, admiring it with a smile, while her mother feels so genuinely happy for her.",The women and priests prepare; the girl puts on a ring and looks at it. Her mother is happy.,style_instructions,style_65,5,1
many showed off their dance moves . some preferred to watch from the sidelines because they were n't as confident . a lot of people had chose interesting styles for this special night . it was 10 pm and the dj was busy spinning tunes for everyone at the club . everyone waited for the ball to drop | ready to party like it was 2012 !,"Many were joyfully showing off their dance moves, while some chose to watch from the sidelines, perhaps feeling a bit less confident. So many had picked out such interesting and expressive styles for this special evening! At 10 pm, the DJ kept spinning lively tunes for everyone at the club, and we all waited together for the ball to drop, ready to celebrate as if it were 2012!","Many displayed their dance moves. Others watched from the sidelines due to low confidence. Numerous people selected distinct styles for the event. By 10 pm, the DJ played music for the club crowd. All awaited the ball drop, prepared to party like it was 2012.",style_instructions,style_253,5,2
mom starts preparing the easter basket . eggs have been died and placed in the basket . this young boy is about to hide the eggs from his family member . here | the young child is finding the eggs and is finding plenty of them . final amount of eggs that were collected . good job .,"Mom lovingly prepares the Easter basket, having beautifully dyed and arranged the eggs. This sweet boy is about to playfully hide them from his family. Here, the little one is joyfully finding the eggs and discovering so many! Look at the final amount collected—such a wonderful job!",Mom prepares the Easter basket. Eggs are dyed and placed inside. The boy hides the eggs from a family member. The child finds numerous eggs. Final count collected. Good job.,style_instructions,style_58,5,3
i went for a walk around town . i saw a lot of abandoned buildings there . there was a lot of garbage everywhere . there was nobody in the park . i came home and found a note from my friend .,"I took a lovely stroll through town and noticed so many abandoned buildings around. There was garbage scattered absolutely everywhere, and the park was completely empty. When I got back home, I discovered a sweet note from my friend!","I went for a walk in town and saw numerous abandoned buildings. Garbage was everywhere, and the park had no one in it. I returned home and found a note from my friend.",no_instructions,noinst_399,5,4
at the conference | we encountered an extremely enthusiastic young man who could n't resist hamming it up for our camera . however | most of the speakers were far more subdued . and the presentations were a bit dry | though not without some humor . and we each got our own dinosaur figurine as a freebie from one of the booths . most of us could n't leave without taking some group pictures to show off to our colleagues later .,"At the conference, we met an incredibly enthusiastic young man who couldn't help but playfully ham it up for our camera. Still, most speakers were much more reserved. The presentations felt a bit dry, though they weren't without moments of humor. And each of us received our very own dinosaur figurine as a free gift from one of the booths. Nearly all of us ended up taking group photos to share with our colleagues afterward.","At the conference, we ran into an extremely enthusiastic young guy who just had to ham it up for our camera. But most speakers were far more subdued. The presentations were a bit dry, though they had some humor. And we each got a dinosaur figurine as a freebie from a booth. Most of us took group pictures to show our colleagues later.",no_instructions,noinst_225,5,5
we went to meet sainburys . they were very welcoming . we all took a picture together . we even played ping pong ! it was so fun !,"We went to meet Sainburys, and they were incredibly welcoming. We all took a picture together and even played ping pong—it was absolutely delightful!","We met with Sainburys, who were very welcoming. We took a group photo and played ping pong—it was a lot of fun.",no_instructions,noinst_379,5,6
they put together a pool for the animals . the kids were able to play with them and they touched many of the animals . they were taught about the animals and they enjoyed their day of learning .,"They created a lovely pool for the animals, and the kids had such a wonderful time playing and gently touching many of the creatures. They learned all about the animals and truly cherished their delightful day of discovery.",They built a pool for the animals; the kids played with them and handled many of the animals. They were instructed about the animals and had a great day of learning.,no_instructions,noinst_275,5,7
after the renovation | the address of this building will begin with 818 . also | a fence is necessary for protection . the removal of this music box will be necessary to rebuild . this vehicle is for traveling for supplies while renovating . this bicycle is needing several new parts for operation .,"Following the renovation, this building's address will start with 818. Additionally, a fence is essential for protection. The music box must be removed to allow for the rebuilding. This vehicle is for traveling to get supplies during the renovation. This bicycle requires several new parts to operate properly.","After renovation, the building's address will begin with 818. Also, a fence is needed for protection. Removing the music box is necessary to rebuild. The vehicle is for traveling for supplies while renovating. The bicycle needs several new parts for operation.",no_instructions,noinst_351,5,8
we went to the fair . we watched the bands play . my daughter really liked the dragon costumes . there was a zen garden replica . she really enjoyed the merry-go-round .,"We had such a lovely time at the fair, where we listened to the bands play together. My daughter was absolutely enchanted by the beautiful dragon costumes, and she really enjoyed exploring the peaceful zen garden replica. She was overjoyed when we rode the merry-go-round!",We attended the fair and watched the bands. My daughter liked the dragon costumes. There was a zen garden replica. She enjoyed the merry-go-round.,style_instructions,style_12,5,9
the bowl of lemonade punch had not been spiked yet | but it was only a matter of time . the cotton company doors were locked . the town was celebrating its anniversary . the message was clear . do n't work too hard ! nobody was at this store either . they were baking and cooking for the big party . the barbershop was open . everyone wanted to look their best for the festivities . there would be music played on the piano as soon as the townspeople arrived .,"The bowl of lemonade punch hadn't been spiked yet, but we all knew it was just a matter of time. With the cotton company doors locked, our sweet town was celebrating its anniversary together. The heartfelt message was clear: let's not work too hard! Nobody was at this store either, as everyone was joyfully baking and cooking for the big party. The barbershop stayed open so we could all look our very best for the festivities. Soon, beautiful music would be played on the piano once our townspeople arrived.","The lemonade punch bowl wasn't spiked yet, but time would change that. The cotton company was locked. The town marked its anniversary. The directive: don't work. The store was empty. People baked and cooked for the party. The barbershop opened for pre-festivity grooming. Piano music would start when the townspeople gathered.",style_instructions,style_20,5,10
all manner of muscle cars gathered for the event . there were very interesting paint jobs on some vehicles . a spectator admired the engine of one car in particular . all along 3rd avenue | people gathered to admire the machines . the grills of some cars were works of art all on their own .,"A wonderful assortment of muscle cars gathered for the event. Some vehicles had such interesting and creative paint jobs! A spectator was admiring the engine of one car in particular. All along 3rd Avenue, people came together to appreciate these beautiful machines. The grilles on some cars were truly works of art in themselves.",Every type of muscle car assembled for the event. Some vehicles had impressive custom paint jobs. A spectator checked out the engine of one car. Crowds lined 3rd Avenue to admire the machines. The grilles on certain cars were standout works of art.,no_instructions,noinst_458,6,1
the only way to get to this place was by taking a ferry ride across the lake . the buildings there were very old and worn down . it looks like there has n't been activity here for years ! we get onto a roof of a building | and climb to the highest point . we take a look at the surrounding landscape around us and see that it is very dense forest . while walking around | we came across this sign . it was very ominous to see it in the forest .,"The only way to reach this place was by taking a serene ferry ride across the lake. The buildings there felt so old and worn down, as if they hadn't seen any activity for years! We made our way onto a rooftop and climbed to the very highest point, where we took in the breathtaking view of the incredibly dense forest surrounding us. As we wandered around, we stumbled upon this sign, and it felt quite ominous to discover it nestled in the forest.","Access required a ferry ride across the lake. The buildings were old and deteriorated, showing no recent activity. We climbed to the highest roof point and surveyed the dense forest landscape. While exploring, we found an ominous sign in the woods.",style_instructions,style_50,6,2
