"reference_text","feminine_style","masculine_style","source_dataset","item_id"
"the college students were celebrating the end of semester . the went to a restaurant for dinner . everyone was a little goofy after all the tests . it was so nice to relax . the group was quite big and had a great time .","The college students were celebrating the semester's end by going to a restaurant for dinner. Everyone felt a bit silly after finishing all the tests, and it was wonderfully relaxing. The large group had such a lovely time together.","The college students celebrated the end of the semester with dinner at a restaurant. Everyone was a little goofy after the tests, making it a great time to unwind. The big group had a blast.","no_instructions","noinst_490"
"the men prepared for the wedding before they sat outside . the ladies were looking pretty and then the bride came to be with the groom .","The men got ready for the wedding before they gathered outside, while the ladies looked lovely and then the bride arrived to join the groom.","The men prepared for the wedding prior to taking their seats outdoors, as the women appeared attractive and the bride came to be with the groom.","no_instructions","noinst_435"
"the field trip to organization is a wonderful learning experience for all the students . the teacher gives them direction on what 's going to be happening on their tour of this organization facility . a organization representative shows the students a film about the location landing . the students were given some tests to evaluate their knowledge of the space program . the students were shown these charts and educated on the conditions the location surface .","The field trip to the organization is such a wonderful learning experience for all the students! The teacher provides clear direction on what will be happening during their tour of the facility. A representative shows the students a film about the location's landing, and they are given tests to evaluate their knowledge of the space program. The students are shown charts and educated about the conditions on the location's surface.","The field trip to the organization is a valuable learning experience for all students. The teacher gives directions for the tour of the facility. An organization representative shows a film on the location landing. Students take tests to evaluate their space program knowledge. They view charts and learn the conditions of the location surface.","no_instructions","noinst_286"
"exploring graffiti around the city and found these lights that almost look like demon eyes a very distrubing image on the side of an apartment building we found the entrance to a basement that was just covered . the same shot with some camera effects added this is n't graffiti but the stairs form their own art work","While exploring the city's graffiti, I came across these lights that resemble demon eyes—a truly unsettling image on an apartment building's side. We discovered a basement entrance that was completely covered. The same shot, enhanced with camera effects, reveals that although it isn't graffiti, the stairs create their own artwork.","Found these lights that look like demon eyes while checking out graffiti around the city—a disturbing sight on an apartment building. We located a basement entrance that was just covered up. Same shot with camera effects added; it's not graffiti, but the stairs form their own art.","no_instructions","noinst_263"
"the new local restaurant . there were so many choices | we did n't know where to start . we did like how the water was served | circular like the table . for an appetizer we had curry and rice . our main meals came and there was so much . the food was delicious . we all had a good time .","The new local restaurant was absolutely delightful, with so many wonderful choices that we felt a bit overwhelmed deciding where to begin. We adored how the water was served in such a charming circular shape, just like the table. For our appetizer, we enjoyed a lovely curry and rice. When our main meals arrived, the portions were so generous and everything tasted simply delicious. We all had such a lovely time together.","The new local restaurant had a ton of choices, so we weren't sure where to start. We liked that the water was served circular, matching the table. For an appetizer, we got curry and rice. Our main meals came out with huge portions. The food was really good. We all had a great time.","no_instructions","noinst_325"
"our group rents bikes no matter where we vacation . we covered a lot of ground and took tons photos . so many ships passed by this island port . this area is not accessible by car . we stopped here for a rest | we had traveled many miles . back at the hotel | we took some photos while discussing dinner plans .","Our group always rents bikes whenever we vacation. We explored so much territory and captured countless photos. Numerous ships sailed past this island harbor. This region isn't reachable by car. We paused here for a break since we had journeyed many miles. Back at the hotel, we snapped some pictures while chatting about dinner options.","Our group rents bikes on every vacation. We covered extensive ground and took heaps of photos. Many ships passed by the island port. This area is inaccessible by car. We stopped here to rest after traveling numerous miles. At the hotel, we took photos while discussing dinner plans.","no_instructions","noinst_480"
"they kicked off the party by going to the local italian restaurant . the homies drank alcohol and ate food . they started off with a cucumber salad . they finished with some smoked tuna . overall the homies had a great time .","The friends began the celebration by heading to the neighborhood Italian restaurant. They enjoyed cocktails and delicious food, starting with a refreshing cucumber salad and ending with smoked tuna. Everyone had a wonderful time together.","The crew started the party at the local Italian spot. The guys drank booze and ate grub, kicking things off with a cucumber salad and finishing with smoked tuna. The homies had a blast.","no_instructions","noinst_500"
"the gang was going to have a get together they had planed to eat before the headed to the show after eating they decided to head to the show they enjoyed the show it was great and capped the night off with a friendly fire","The group was going to have a get-together; they had planned to eat before heading to the show. After their meal, they decided to go to the performance, which they thoroughly enjoyed—it was wonderful and capped off the night with a warm, friendly atmosphere.","The crew was going to meet up; they'd planned to grab a bite before hitting the show. After eating, they headed to the performance, enjoyed it—it was great—and wrapped up the night with a solid, friendly finish.","no_instructions","noinst_310"
"a friend of mine got us tickets to a concert that was taking place at the local fairgrounds . we got there early because there was open seating . we left one of our friends with our blanket and went to score some food . even though it was pretty hot out the concert was great . we had a great time dancing and enjoying the music together .","My friend snagged us tickets to a concert at the local fairgrounds. We arrived early since seating was open. We left one friend with our blanket and went to grab some food. Although it was quite warm outside, the concert was absolutely wonderful. We had such a lovely time dancing and enjoying the music together.","A buddy of mine got us tickets to a concert at the local fairgrounds. We got there early because seating was open. We left one of our friends with our blanket and went to get some food. Even though it was pretty hot out, the concert was great. We had a blast dancing and enjoying the music.","no_instructions","noinst_162"
"i was out walking downtown one day . i saw many unique buildings and apartments . i stopped at some of the shops to browse . after a while i decided to head back to my apartment . i was glad to be back home .","While strolling through downtown, I admired the charming architecture of numerous unique buildings and apartments. I paused to explore several delightful shops before eventually deciding to return to my cozy apartment, feeling so grateful to be back home.","I took a walk downtown and noticed many distinct buildings and apartments. I checked out a few shops before opting to head back to my place. It felt good to be home.","no_instructions","noinst_210"
"all manner of muscle cars gathered for the event . there were very interesting paint jobs on some vehicles . a spectator admired the engine of one car in particular . all along 3rd avenue | people gathered to admire the machines . the grills of some cars were works of art all on their own .","A wonderful assortment of muscle cars gathered for the event. Some vehicles had such interesting and creative paint jobs! A spectator was admiring the engine of one car in particular. All along 3rd Avenue, people came together to appreciate these beautiful machines. The grilles on some cars were truly works of art in themselves.","Every type of muscle car assembled for the event. Some vehicles had impressive custom paint jobs. A spectator checked out the engine of one car. Crowds lined 3rd Avenue to admire the machines. The grilles on certain cars were standout works of art.","no_instructions","noinst_458"
"everyone gathered for grandma 's birthday . everyone sang and took pictures . she blew out the candles on the cake . she even got to meet the newest member of the family we gathered for a family photo .","Everyone came together for Grandma's birthday celebration. They all sang songs and took lovely pictures. She blew out the candles on her beautiful cake and even got to meet the newest little member of the family before gathering for a sweet family photo.","The whole family gathered for Grandma's birthday. They sang and took photos. She blew out the candles on the cake and met the newest family member before we all got together for a family picture.","no_instructions","noinst_497"
"we 're here to see all the beautiful sights and sounds of nature . here | in the forest | the air is clean and it is extremely peaceful . look at all the beautiful flowers on the trees . purple is a favorite color . the natural colors seem to pop against the sunlight . this has been an awesome adventure !","We're here to enjoy all the beautiful sights and sounds of nature. Here in the forest, the air is so fresh and it feels wonderfully peaceful. Look at all the lovely flowers on the trees—purple is such a favorite color. The natural colors really stand out in the sunlight. This has been such an amazing adventure!","We're here to take in all the impressive sights and sounds of nature. Here in the forest, the air is clean and it's incredibly peaceful. Look at all the striking flowers on the trees—purple is a top color. The natural colors pop vividly against the sunlight. This has been a fantastic adventure!","no_instructions","noinst_417"
"the concert last week was awesome . i had a great time . the drummer was very good . the singer was not that good . everyone thought the guitarist was great . the band played for a while until early morning .","The concert last week was absolutely amazing! I had such a wonderful time. The drummer was really fantastic, and the guitarist was so impressive—everyone thought he was great. The singer wasn't quite as strong, though. The band played all the way into the early morning hours.","The concert last week was awesome. I had a great time. The drummer was very good, and the guitarist was great—everyone thought so. The singer wasn't that good. The band played until early morning.","no_instructions","noinst_375"
"i had a great time with my friends today . we ate lots of ice cream . i drank some juice . it was very delicious juice . afterward we all played together .","I had such a wonderful time with my friends today! We enjoyed lots of ice cream, and I sipped some juice—it was absolutely delicious. Afterward, we all played together and had so much fun.","Had a great time with my friends today. We ate a lot of ice cream, and I drank some juice—it was really delicious. After that, we all played together.","no_instructions","noinst_324"
"[female] and [male] are very happy together . they laugh and share each others deepest secrets . [female] feels confident in herself and life for the first time . [male] is perfect for her . [female] could n't have imagined she would meet someone like [male] . but relationships take a lot of work . sometimes you will fight and even feel like you hate each other . but in the end the work is worth it .","[female] and [male] are incredibly happy together. They laugh freely and share their innermost secrets. [female] feels truly confident in herself and her life for the very first time. [male] is absolutely perfect for her. [female] couldn't have imagined finding someone as wonderful as [male]. But relationships require significant effort. Sometimes you'll argue and may even feel moments of frustration. Ultimately, though, that effort proves deeply worthwhile.","[female] and [male] are very happy together. They share laughs and each other's deepest secrets. [female] feels confident in herself and life for the first time. [male] is perfect for her. [female] couldn't have imagined meeting someone like [male]. But relationships take work. Sometimes you fight and might even feel you hate each other. But in the end, the work is worth it.","no_instructions","noinst_66"
"this was the older men 's soccer team they tried hard out there despite their age they had more fun than anything but there was some serious competition too and some real coaching from the coaches","The senior men's soccer team played with such heart and enthusiasm despite their age—they genuinely enjoyed themselves while still engaging in some truly competitive moments and receiving wonderful guidance from their coaches.","The older men's soccer team competed hard regardless of age—they had fun above all, but the games were seriously contested and the coaches provided solid tactical direction.","no_instructions","noinst_177"
"the flower girl was so cute the brides father walked her down the isle the bride and groom sat and waited to kiss the groom and his best man posed for pictures the couple got married on the ocean","The adorable flower girl was escorted down the aisle by the bride’s father, while the bride and groom sat patiently, awaiting their kiss. The groom and his best man posed for lovely photos, as the couple celebrated their oceanfront wedding.","The flower girl was really cute as the bride’s father walked her down the aisle. The bride and groom sat and waited to kiss, and the groom and best man posed for pictures. They got married by the ocean.","no_instructions","noinst_413"
"i took my daughter to watch a race today . lots of people were dressed up because halloween was coming up soon . a person dressed like spongebob squarepants made my daughter laugh really hard . a couple of people thought it would be funny to dress as a camel . both of them had a heat stroke and i saw the camel fall over .","I brought my daughter to watch a race today. So many people were dressed up since Halloween was just around the corner. A person dressed as SpongeBob SquarePants made my daughter laugh so much. A couple of people decided it would be amusing to dress as a camel. Both of them ended up with heat stroke, and I saw the camel costume collapse.","Took my daughter to a race today. Lots of people were in costume with Halloween coming up soon. Someone dressed as SpongeBob SquarePants had my daughter cracking up. A couple guys thought dressing as a camel would be funny. Both got heat stroke, and I saw the camel go down.","no_instructions","noinst_207"
"i love to travel this place is amazing so much to see and do i love this place","I absolutely adore traveling here; this place is incredible with so many wonderful things to see and do—I'm completely in love with it.","I love traveling to this spot; it's amazing with tons to see and do—really love this place.","no_instructions","noinst_243"
"i was very excited to play in the game tonight . we had been practicing very hard . our coach believes in us . we got together for a group hug . we were going to try our best to win .","I was so thrilled to play in tonight's game. We had been practicing incredibly hard. Our coach truly believes in us. We came together for a group hug. We were going to give our absolute best to win.","I was pumped to play in the game tonight. We'd been practicing hard. Our coach believes in us. We got together for a quick team huddle. We were going to give it our all to win.","no_instructions","noinst_470"
"today i went to radio shack to protest unfair use of electronics . many men stood up screaming demands . we all listened to them . some rambled on and some had great focus points . we marched down the street to rally up more people . i came upon a organization sign and it reminded me of hotdogs and i got hungry so i skipped out on the rally and went to the stadium to eat !","Today I visited RadioShack to stand against unfair electronics practices. Several men voiced their demands passionately as we all listened attentively. Some spoke at length while others made focused, compelling arguments. We then marched together down the street to gather more supporters. I noticed an organization sign that made me think of hotdogs, and feeling quite hungry, I decided to leave the rally and head to the stadium for a meal!","Today I went to RadioShack to protest unfair electronics use. A number of men stood up shouting demands, and we all heard them out. Some rambled while others had sharp, focused points. We marched down the street to rally more people. I came across an organization sign that reminded me of hotdogs, got hungry, and bailed on the rally to grab food at the stadium.","no_instructions","noinst_386"
"annual sambhavi day gave us an opportunity to help so many children in need . the children of our church performed the traditional prayer for guests . we are all very proud that we could support the parents of the special needs children . the money raised will help buy equipment that will make lives better . all of our hard work was rewarded by the children 's smiling faces !","Our annual Sambhavi Day offered such a heartfelt chance to assist so many children in need. The kids from our church beautifully performed the traditional guest prayer. We all feel truly proud to have supported the parents of children with special needs. The funds raised will help purchase equipment to improve their lives. All our dedication was wonderfully rewarded by the children’s beaming smiles!","The annual Sambhavi Day provided a solid opportunity to help many children in need. The children of our church carried out the traditional guest prayer. We take pride in having supported the parents of special needs children. The money raised will go toward equipment that improves lives. Our hard work paid off with the children’s happy faces.","no_instructions","noinst_44"
"i woke up yesterday and i had to clean my room . it was a mess everywhere . after i finished i made some food for myself because i was starving . i spent some time thinking about what to do next . i decided to head out into the town for the night .","Yesterday morning, I woke up and just had to tidy my room—it was such a mess all over! After finishing, I prepared a little something to eat because I was absolutely starving. I took some time to ponder what to do next, and eventually decided to go out into town for the evening.","I got up yesterday and had to clean my room—it was a complete mess. Once I was done, I made some food because I was starving. I spent a bit of time figuring out my next move, then decided to head into town for the night.","no_instructions","noinst_446"
"these friends have gathered to shoot off rockets in the snowy mountains . they set up the rockets . throw a few snowballs at them . set up the launchpad . and wait . oh the suspense .","These friends have gathered to shoot off rockets in the snowy mountains. They set up the rockets, toss a few snowballs at them, arrange the launchpad, and wait. Oh, the anticipation!","These friends have gathered to shoot off rockets in the snowy mountains. They set up the rockets, throw some snowballs at them, position the launchpad, and wait. The suspense builds.","no_instructions","noinst_493"
"the empty cart was in the library . there were some cool art work out front of the library . inside you could also find some fun pieces . the buildings were lit brightly at night . some people were inside playing games .","The empty cart sat in the library. Out front, there were some lovely art pieces, and inside, you could discover delightful artworks too. The buildings glowed beautifully at night, with a few people inside enjoying games.","The empty cart was in the library. There were impressive art pieces outside the building, and inside, you could also find engaging works. The structures were brightly illuminated at night, with several people inside playing games.","no_instructions","noinst_21"
"this is my dog with purple bows on her ears . this is my cat . my dog an cat get along well . we are celebrating our collective birthdays today with a beautiful cake . it is yummy too . we scarfed up more than half of it . what a wonderful and beautiful day to celebrate .","This is my dog with lovely purple bows on her ears, and this is my cat. My dog and cat get along so wonderfully. We're celebrating all our birthdays together today with a beautiful cake—it's absolutely delicious! We've already eaten over half of it. What a truly wonderful and beautiful day to celebrate!","This is my dog with purple bows on her ears. This is my cat. My dog and cat get along well. We're celebrating our collective birthdays today with a nice cake. It tastes good. We ate more than half of it. What a great day to celebrate.","no_instructions","noinst_486"
"production came into the meeting today to show off the new line . it began with some brown pants . next were some pastel colored nightgowns . after that were some jackets . they came in two colors | pink and a reddish orange . they were really excited about the jackets and believed they would be next season 's best sellers .","The production team came into the meeting today to showcase the new line. It started with some brown pants, followed by a few pastel-colored nightgowns. After that, they presented some jackets, which came in two lovely colors—pink and a reddish orange. They were truly excited about the jackets and felt they would be next season's best sellers.","Production came into the meeting today to show the new line. It began with brown pants, then moved to pastel-colored nightgowns. After that, jackets were shown in two colors: pink and reddish orange. They were very excited about the jackets and believed they'd be next season's best sellers.","no_instructions","noinst_401"
"a couple decides to try a new fancy restaurant . the woman is very impressed and hopes they will come back again . the outside of the restaurant is ready for a celebration . the street is illuminated in a glowing pink and yellow . the man is in awe at the restaurants interesting decorations .","A couple chooses to dine at an elegant new restaurant. She is thoroughly delighted and looks forward to returning. The exterior is beautifully arranged for festivities, with the street bathed in warm pink and golden light. He is captivated by the establishment's unique and charming decor.","A couple picks a high-end new restaurant to try. She's very impressed and wants to come back. The building's exterior is set up for a celebration, and the street glows in pink and yellow. He's struck by the restaurant's interesting decorative details.","no_instructions","noinst_250"
"i was so grateful for my sister allowing me to move in with her after my divorce . i started to eat a bit more healthier | and these seeds are part of my journey . i cut out bread | and just ate meant amd vegetables . my sister wants me to help her with a healthy lifestyle as well . she is a sweet person | and deserves all the happiness .","I felt incredibly grateful when my sister let me move in with her following my divorce. I began eating a bit healthier, and these seeds are part of my journey. I eliminated bread and focused on just eating meat and vegetables. My sister wants me to assist her with adopting a healthy lifestyle too. She's such a sweet person and truly deserves all the happiness.","I was really grateful my sister allowed me to move in after my divorce. I started eating a bit healthier, and these seeds are part of that. I cut out bread and stuck to meat and vegetables. My sister wants me to help her with a healthy lifestyle as well. She's a sweet person and deserves all the happiness.","no_instructions","noinst_447"
"i went for a walk around town . i saw a lot of abandoned buildings there . there was a lot of garbage everywhere . there was nobody in the park . i came home and found a note from my friend .","I took a lovely stroll through town and noticed so many abandoned buildings around. There was garbage scattered absolutely everywhere, and the park was completely empty. When I got back home, I discovered a sweet note from my friend!","I went for a walk in town and saw numerous abandoned buildings. Garbage was everywhere, and the park had no one in it. I returned home and found a note from my friend.","no_instructions","noinst_399"
"at the conference | we encountered an extremely enthusiastic young man who could n't resist hamming it up for our camera . however | most of the speakers were far more subdued . and the presentations were a bit dry | though not without some humor . and we each got our own dinosaur figurine as a freebie from one of the booths . most of us could n't leave without taking some group pictures to show off to our colleagues later .","At the conference, we met an incredibly enthusiastic young man who couldn't help but playfully ham it up for our camera. Still, most speakers were much more reserved. The presentations felt a bit dry, though they weren't without moments of humor. And each of us received our very own dinosaur figurine as a free gift from one of the booths. Nearly all of us ended up taking group photos to share with our colleagues afterward.","At the conference, we ran into an extremely enthusiastic young guy who just had to ham it up for our camera. But most speakers were far more subdued. The presentations were a bit dry, though they had some humor. And we each got a dinosaur figurine as a freebie from a booth. Most of us took group pictures to show our colleagues later.","no_instructions","noinst_225"
"we went to meet sainburys . they were very welcoming . we all took a picture together . we even played ping pong ! it was so fun !","We went to meet Sainburys, and they were incredibly welcoming. We all took a picture together and even played ping pong—it was absolutely delightful!","We met with Sainburys, who were very welcoming. We took a group photo and played ping pong—it was a lot of fun.","no_instructions","noinst_379"
"they put together a pool for the animals . the kids were able to play with them and they touched many of the animals . they were taught about the animals and they enjoyed their day of learning .","They created a lovely pool for the animals, and the kids had such a wonderful time playing and gently touching many of the creatures. They learned all about the animals and truly cherished their delightful day of discovery.","They built a pool for the animals; the kids played with them and handled many of the animals. They were instructed about the animals and had a great day of learning.","no_instructions","noinst_275"
"after the renovation | the address of this building will begin with 818 . also | a fence is necessary for protection . the removal of this music box will be necessary to rebuild . this vehicle is for traveling for supplies while renovating . this bicycle is needing several new parts for operation .","Following the renovation, this building's address will start with 818. Additionally, a fence is essential for protection. The music box must be removed to allow for the rebuilding. This vehicle is for traveling to get supplies during the renovation. This bicycle requires several new parts to operate properly.","After renovation, the building's address will begin with 818. Also, a fence is needed for protection. Removing the music box is necessary to rebuild. The vehicle is for traveling for supplies while renovating. The bicycle needs several new parts for operation.","no_instructions","noinst_351"
"i went to a convention today . there were many refreshments there . i met somebody that i thought i never would get the chance to meet . i took crazy pictures with all of my friends . i had a really awesome time at the convention .","Today at the convention, I had such a lovely time! There were so many delightful refreshments, and I actually got to meet someone I never thought I'd have the chance to see. I took so many fun pictures with all my friends—it was absolutely wonderful!","I went to a convention today and had a great time. There were plenty of refreshments, and I met someone I didn't expect to ever get the chance to meet. I took a bunch of wild photos with all my friends—it was awesome.","no_instructions","noinst_274"
"another night together hanging out with some good friends . some friends are a little preferred to others | of course . as you can tell | that simple fact makes me quite happy . and it makes some other people very happy as well . however | it seems some people get easily embarrassed at the sign of public affection | which is understandable .","Another lovely evening spent with dear friends. Some friends are naturally a bit more special than others, and honestly, that little truth just fills my heart with joy. It brings happiness to others too. Still, I notice that public displays of affection can make some people feel a bit shy, which is completely understandable.","Another night hanging out with good friends. Some friends are definitely preferred over others, no question. That simple fact makes me really happy, and it makes others happy too. But some people get embarrassed by public affection, which makes sense.","no_instructions","noinst_186"
"a parade was held in location . people collected beads from passing parade floats . some walked on stilts . others dressed up and rode floats through the streets . bands played marching music .","A parade took place in the location, where attendees gathered beads from the passing floats. Some participants elegantly walked on stilts, while others dressed in vibrant costumes and rode along on the floats through the streets. Marching bands provided lively music for the event.","A parade was held in the location, with crowds collecting beads from the passing floats. Some people walked on stilts, and others dressed up to ride the floats along the streets. Marching bands played music throughout.","no_instructions","noinst_233"
"the governor came out to the ping pong tournament he talked to the players and even posed with them they taught him some tips then the games began","The governor visited the ping pong tournament, chatting with the players and posing for photos together. They shared some tips with him before the games got underway.","The governor showed up at the ping pong tournament, talked with the players, and took pictures. They gave him pointers, then the matches started.","no_instructions","noinst_378"
"this was a family of many generations here they were as young adults and as grandparents they loved each generation the same they were married over 50 years","This family spanned many generations, with members present as young adults and as grandparents; they cherished every generation equally and celebrated over fifty years of marriage together.","A family of many generations, present as young adults and grandparents, valued each generation equally and were married for over fifty years.","no_instructions","noinst_465"
